id,title,description,category,priority
1,Issue: General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Medium
2,Report: General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Critical
3,Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,Medium
4,Report: Driver flagged a scheduling conflict for the upcoming shift at Pune Central Hub.,Driver flagged a scheduling conflict for the upcoming shift at Pune Central Hub.,Driver,Medium
5,Alert: EV-108 requires software update for the onboard diagnostics system.,EV-108 requires software update for the onboard diagnostics system.,Maintenance,Low
6,Alert: Battery percentage dropped unusually fast during the last trip for EV-112.,Battery percentage dropped unusually fast during the last trip for EV-112.,Battery,Medium
7,Alert: Charging session for EV-114 keeps disconnecting randomly.,Charging session for EV-114 keeps disconnecting randomly.,Charging,Critical
8,Report: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Critical
9,Ride was cancelled midway without explanation for EV-127.,Ride was cancelled midway without explanation for EV-127.,Ride,Medium
10,Alert: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Medium
11,General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,High
12,Issue: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,High
13,Alert: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,Low
14,Report: Driver flagged a scheduling conflict for the upcoming shift at Mumbai East Hub.,Driver flagged a scheduling conflict for the upcoming shift at Mumbai East Hub.,Driver,High
15,Report: Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,High
16,Report: Payment gateway timeout occurred during checkout.,Payment gateway timeout occurred during checkout.,Payment,High
17,Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,Medium
18,Alert: Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,Medium
19,Issue: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,High
20,Alert: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Low
21,Issue: Suggestion received to add more charging stations near Mumbai East Hub.,Suggestion received to add more charging stations near Mumbai East Hub.,Other,Medium
22,Alert: Pune Central Hub reported a power outage affecting charging operations.,Pune Central Hub reported a power outage affecting charging operations.,Hub Operations,Low
23,Issue: Driver has not arrived for the assigned shift at Pune Central Hub.,Driver has not arrived for the assigned shift at Pune Central Hub.,Driver,Medium
24,Duplicate payment charged for a single ride.,Duplicate payment charged for a single ride.,Payment,High
25,Alert: Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,High
26,Alert: Push notifications for ride status are not being delivered.,Push notifications for ride status are not being delivered.,Technical,High
27,Issue: EV-117 battery percentage is not increasing despite being connected at station 4.,EV-117 battery percentage is not increasing despite being connected at station 4.,Charging,Critical
28,Report: Driver has not arrived for the assigned shift at Bangalore South Hub.,Driver has not arrived for the assigned shift at Bangalore South Hub.,Driver,Critical
29,Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,High
30,Maintenance team flagged worn brake pads on EV-103.,Maintenance team flagged worn brake pads on EV-103.,Maintenance,High
31,Alert: Mobile app crashes when trying to book a ride from Pune Central Hub.,Mobile app crashes when trying to book a ride from Pune Central Hub.,Technical,High
32,Report: EV-106 battery temperature is unusually high during operation.,EV-106 battery temperature is unusually high during operation.,Battery,Critical
33,Issue: Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,Low
34,Report: Charging session for EV-117 keeps disconnecting randomly.,Charging session for EV-117 keeps disconnecting randomly.,Charging,Low
35,Issue: EV-115 brakes feel soft and need inspection.,EV-115 brakes feel soft and need inspection.,Vehicle,Medium
36,EV-100 brakes feel soft and need inspection.,EV-100 brakes feel soft and need inspection.,Vehicle,Low
37,Report: Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,High
38,EV-123 battery percentage is not increasing despite being connected at station 1.,EV-123 battery percentage is not increasing despite being connected at station 1.,Charging,Critical
39,Issue: Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,Low
40,Report: Delhi North Hub is operating near full capacity with no available parking.,Delhi North Hub is operating near full capacity with no available parking.,Hub Operations,Critical
41,Alert: Delhi North Hub requires additional staff during the evening peak hours.,Delhi North Hub requires additional staff during the evening peak hours.,Hub Operations,Medium
42,Report: Customer reported a long detour during the ride.,Customer reported a long detour during the ride.,Ride,High
43,Issue: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Critical
44,"Issue: EV-106 shuts down unexpectedly, suspected battery fault.","EV-106 shuts down unexpectedly, suspected battery fault.",Battery,Low
45,Alert: Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,Low
46,Report: Pune Central Hub requires additional staff during the evening peak hours.,Pune Central Hub requires additional staff during the evening peak hours.,Hub Operations,Low
47,Report: Ride was cancelled midway without explanation for EV-128.,Ride was cancelled midway without explanation for EV-128.,Ride,High
48,Issue: Customer complained about driver behavior during the ride.,Customer complained about driver behavior during the ride.,Customer,High
49,Report: Battery health indicator for EV-126 has degraded significantly this month.,Battery health indicator for EV-126 has degraded significantly this month.,Battery,Critical
50,Issue: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Medium
51,Report: EV-117 battery temperature is unusually high during operation.,EV-117 battery temperature is unusually high during operation.,Battery,Medium
52,Issue: Maintenance team flagged worn brake pads on EV-101.,Maintenance team flagged worn brake pads on EV-101.,Maintenance,Low
53,Customer complained about driver behavior during the ride.,Customer complained about driver behavior during the ride.,Customer,High
54,Report: Security gate at Mumbai East Hub is malfunctioning.,Security gate at Mumbai East Hub is malfunctioning.,Hub Operations,Low
55,Report: EV-105 is due for scheduled maintenance and has not been serviced.,EV-105 is due for scheduled maintenance and has not been serviced.,Maintenance,Medium
56,Customer reported a long detour during the ride.,Customer reported a long detour during the ride.,Ride,Low
57,Report: Driver reported feeling unwell and requested a shift change.,Driver reported feeling unwell and requested a shift change.,Driver,High
58,Issue: Driver has not arrived for the assigned shift at Delhi North Hub.,Driver has not arrived for the assigned shift at Delhi North Hub.,Driver,High
59,Issue: Ride pickup location did not match the app location.,Ride pickup location did not match the app location.,Ride,Low
60,Customer reported a long detour during the ride.,Customer reported a long detour during the ride.,Ride,High
61,Report: Customer requested a refund for a cancelled ride.,Customer requested a refund for a cancelled ride.,Customer,Low
62,Report: Ride was cancelled midway without explanation for EV-122.,Ride was cancelled midway without explanation for EV-122.,Ride,Medium
